,ccode,country,year,Total ,age 15-17,age 18-19,<20,>20,age 20-34,age 35-49
110,JAM,Jamaica,2005.0,90.53272468644867,91.03701301700656,75.77499651041937,84.07113454854499,91.85236309499044,92.39093181712683,89.74970625942119
111,JAM,Jamaica,2011.0,97.68302457836737,100.0,93.83213676218254,96.30539592185052,97.95523572464474,98.66182813730852,95.17146291140935
112,JOR,Jordan,2002.0,98.76591633739305,98.76571037822133,97.1442881367793,97.55731090671198,98.83768096976004,98.99141099138126,98.01269797690662
113,JOR,Jordan,2007.0,99.08373007445687,100.0,98.37978711406907,98.79171771158155,99.09903071083049,99.30168029883313,98.28158730978164
114,JOR,Jordan,2012.0,99.18851434323102,100.0,96.55823719794901,97.61180221955225,99.28165590891372,99.62124832492104,97.93791507901905
115,KAZ,Kazakhstan,2006.0,99.86043768851741,100.0,100.0,100.0,99.85144211548021,99.8272769780011,100.0
116,KAZ,Kazakhstan,2010.0,99.1648143020805,100.0,100.0,100.0,99.29466401187483,99.38656906632099,98.91533847205604
117,KEN,Kenya,2000.0,75.96210444925492,71.63592686690505,74.79615275155422,72.04813612556048,78.593184574964,79.80059773937357,69.87497145255045
118,KEN,Kenya,2003.0,86.66187904505925,80.93193987437465,85.12805349006392,83.78930164164883,87.26635287387057,88.6262686322738,78.87277811623474
119,KEN,Kenya,2008.0,91.48577812277018,88.87776465476976,91.72051436890445,90.5191305744255,91.65738094958795,92.71407202433599,84.72031653197205
120,KEN,Kenya,2014.0,95.2839100627359,93.99642746210381,95.61280082916636,95.01229352052638,95.32831884931954,95.55906735450812,93.8711575897073
121,KGZ,Kyrgyzstan,2012.0,97.3226362421761,100.0,98.93339586606385,99.04570870392241,97.1760503283237,97.88198634616523,92.24858869912084
122,KGZ,Kyrgyzstan,2014.0,98.35618703450962,90.70622719525184,98.72357852906424,97.54754521679044,98.4290361649913,98.56879426162205,97.47934176344391
123,LAO,Lao People's Democratic Republic,2000.0,26.499291288240972,25.032773097972594,23.293051019675076,23.85241184491248,27.81823285506703,29.64691302897069,19.453439602595214
124,LAO,Lao People's Democratic Republic,2006.0,35.11552275337729,34.77339335469414,34.66297152830387,34.70307565030241,35.20532115851134,37.18763653028926,22.81086867285346
125,LAO,Lao People's Democratic Republic,2011.0,54.21247635069837,49.60559542229508,49.62759355637669,49.61980120914195,55.17352355424803,56.92749896234574,43.756707173639704
126,LSO,Lesotho,2000.0,84.72385428907168,83.87096774193549,89.1891891891892,87.28323699421965,84.47488584474885,86.04206500956023,78.35820895522389
127,LSO,Lesotho,2004.0,89.55747646583899,92.83835239877305,92.22319106244026,92.43152472443121,88.81903429852291,89.7639908764534,84.75246036239508
128,LSO,Lesotho,2009.0,91.567684125272,87.64294523915204,93.90665366373956,91.3180135040585,91.63631907182082,92.50014125237843,85.48004133098588
129,LBR,Liberia,2007.0,79.91992004758156,81.48597562104246,73.27034490249665,76.57592330726509,80.63716033529684,80.66624475881768,80.51147950066975
130,LBR,Liberia,2013.0,95.93365517560889,98.1476109507947,96.252283706822,97.11075748345296,95.60840807790778,95.7662604473614,94.88547574429099
131,MKD,The former Yugoslav Republic of Macedonia,2005.0,98.05743970007208,98.1162872757493,96.41852302532877,97.32119502608613,98.20348817872868,98.38752365651001,96.43563256336142
132,MKD,The former Yugoslav Republic of Macedonia,2011.0,98.55857437305706,89.57438714579344,100.0,98.31951695295868,98.57144538164333,98.75853371477274,96.62271046735125
133,MDG,Madagascar,2000.0,71.19481485814728,75.2923161616444,74.88312293701578,75.0175245861749,76.07466765115637,76.9322321587033,72.6091465108623
134,MDG,Madagascar,2003.0,78.68751550959402,73.77330011956191,75.66691867185848,74.83415635751015,79.65656609732433,81.60966953410387,71.6141244107158
135,MDG,Madagascar,2008.0,84.79116294632192,82.5001911358792,82.4925265970528,82.49602680442922,85.46222785621349,85.6947592389107,84.51698322278264
136,MWI,Malawi,2000.0,90.90479025204661,92.82827301355825,93.6633454231334,93.37193090171209,90.29611691453117,90.97197619745072,86.77753382871354
137,MWI,Malawi,2004.0,91.96279338114533,97.45797176942853,92.64587734999421,94.16554419846541,91.46584546884942,91.40015625949022,91.85810939484664
138,MWI,Malawi,2006.0,91.88357612527844,0.0,0.0,0.0,0.0,0.0,0.0
139,MWI,Malawi,2010.0,94.79927579851683,95.78027811840454,95.9722120287103,95.9015146173332,94.57753989761046,94.54857993466341,94.7347448936428
140,MWI,Malawi,2013.0,96.05077441317134,97.10891393304625,96.43224037326658,96.66514070650638,95.90293440019852,96.23456275627233,94.11098782355683
141,MDV,Maldives,2009.0,99.62717875822214,100.0,100.0,100.0,99.61273358090206,99.59131627556471,99.76778858989263
142,MLI,Mali,2001.0,55.99686810890283,59.14031654123332,58.972302075855886,59.041230637692735,55.26324756046635,56.040828428341385,52.378096998867626
143,MLI,Mali,2006.0,72.17996571208374,70.0972449630545,73.68182706967451,71.9818972084846,72.22865738772603,72.30720235150112,71.87594309011828
144,MLI,Mali,2012.0,74.94715562244404,82.3150704089743,73.82829145655857,77.46137025047574,74.42306201832133,74.74232750271658,72.80577896794026
145,MRT,Mauritania,2007.0,75.44772870841993,73.67709970277427,80.24636187931935,77.25954907399809,75.26951069817915,76.64925591490986,70.6706741215106
146,MRT,Mauritania,2011.0,84.20060884312258,78.71005363373767,78.46059114328939,78.54325426367502,83.79569819462837,85.13948544075511,79.93310546124364
147,MDA,Republic of Moldova,2005.0,98.60647232499387,100.0,98.69109942138988,99.04303652996677,98.53164101988445,98.4300081069389,100.0
148,MDA,Republic of Moldova,2012.0,98.76351798691543,0.0,100.0,100.0,98.52537250335796,99.32441092185334,93.43237956349087
149,MNG,Mongolia,2000.0,96.69966996699671,100.0,94.35483870967742,95.42483660130719,96.90949227373068,96.87756778964666,97.1830985915493
150,MNG,Mongolia,2005.0,98.85092025993629,92.73165277745152,97.18253297173926,96.27146786400486,99.10708811956769,99.4019511469102,97.2135653453963
151,MNG,Mongolia,2010.0,99.03473412967885,100.0,100.0,100.0,99.02327489986561,99.49752012377789,97.3078041402013
152,MNE,Montenegro,2005.0,97.36336963664294,100.0,100.0,100.0,97.2414665814686,97.50283198936647,95.5535287542932
153,MNE,Montenegro,2013.0,91.73165697884474,76.98162782197545,84.05787391546794,82.64179484711455,92.26051300925057,91.559876199841,97.27642200944636
154,MAR,Morocco,2003.0,67.79307698357509,62.87019306344563,66.21095745966379,65.23367943216746,68.03414179686943,68.60278439175507,65.72355419717023
155,MOZ,Mozambique,2003.0,85.16787117301051,89.68186947675831,88.06667694063756,88.79721042290075,84.17367389036882,84.40478854229568,83.02530415314754
156,MOZ,Mozambique,2008.0,88.99806478742046,91.8150963694818,91.76677444018316,91.78696298138146,88.27381015103427,89.31092396767578,83.26365453476733
157,MOZ,Mozambique,2011.0,90.44589203453168,90.9733989564365,93.2687317782419,92.21835588899013,89.99797469765156,91.0139252112537,85.82794087310343
158,NAM,Namibia,2000.0,89.97235846201187,93.50477404242163,89.22864844734647,90.7850749906534,89.81673018221932,92.11102817207345,81.38759797982246
