T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
32,Argentina,2005,Major trading partner 2 (% of imports),China,,5.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2010,Major trading partner 2 (% of imports),China,,13.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2017,Major trading partner 2 (% of imports),China,,18.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2005,Major trading partner 3 (% of exports),China,,7.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2010,Major trading partner 3 (% of exports),China,,8.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2017,Major trading partner 3 (% of exports),China,,7.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2005,Major trading partner 3 (% of imports),United States,,16.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2010,Major trading partner 3 (% of imports),United States,,11.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
32,Argentina,2017,Major trading partner 3 (% of imports),United States,,11.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2005,Major trading partner 1 (% of exports),Russian Federation,,12.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2010,Major trading partner 1 (% of exports),Russian Federation,,17.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2017,Major trading partner 1 (% of exports),Russian Federation,,26.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2005,Major trading partner 1 (% of imports),Russian Federation,,14.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2010,Major trading partner 1 (% of imports),Russian Federation,,22.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2017,Major trading partner 1 (% of imports),Russian Federation,,28.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2005,Major trading partner 2 (% of exports),Bulgaria,,0.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2010,Major trading partner 2 (% of exports),Bulgaria,,15.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2017,Major trading partner 2 (% of exports),Bulgaria,,14.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2005,Major trading partner 2 (% of imports),China,,1.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2010,Major trading partner 2 (% of imports),China,,10.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2017,Major trading partner 2 (% of imports),China,,11.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2005,Major trading partner 3 (% of exports),Switzerland,,3.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2010,Major trading partner 3 (% of exports),Switzerland,,1.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2017,Major trading partner 3 (% of exports),Switzerland,,11.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2005,Major trading partner 3 (% of imports),Turkey,,3.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2010,Major trading partner 3 (% of imports),Turkey,,5.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
51,Armenia,2017,Major trading partner 3 (% of imports),Turkey,,5.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
533,Aruba,2005,Major trading partner 1 (% of exports),Colombia,,11.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
